ABCDC096-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC097-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC103-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC105-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC113-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC115-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC118-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC121-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC170-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC171-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC172-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC173-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC174-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC177-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC189-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC191-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC194-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC307-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC340-07	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABCDC375-08	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABRMM023-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABRMM025-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABRMM027-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABRMM029-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
ABRMM031-06	Chordata;Mammalia;CHIROPTERA;PTEROPODIDAE;Rousettus;Rousettus_aegyptiacus
