MSW05_Order	MSW05_Family	MSW05_Binomial	AdultBodyMass_g	AdultHeadBodyLen_mm	AgeatFirstBirth_d	BasalMetRate_mLO2hr	BasalMetRateMass_g	DietBreadth	GestationLen_d	HabitatBreadth	HomeRange_km2	InterbirthInterval_d	LitterSize	LittersPerYear	MaxLongevity_m	NeonateBodyMass_g	NeonateHeadBodyLen_mm	PopulationDensity_n_km2	PopulationGrpSize	SexualMaturityAge_d	SocialGrpSize	Terrestriality	TrophicLevel	WeaningAge_d	WeaningBodyMass_g	WeaningHeadBodyLen_mm	GR_Area_km2	GR_MaxLat_dd	GR_MinLat_dd	GR_MidRangeLat_dd	GR_MaxLong_dd	GR_MinLong_dd	GR_MidRangeLong_dd	HuPopDen_Min_n_km2	HuPopDen_Mean_n_km2	HuPopDen_Change	Precip_Mean_mm	Temp_Mean_01degC	AET_Mean_mm	PET_Mean_mm
Chiroptera	Vespertilionidae	Lasiurus_castaneus	12.51	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	3	NA	NA	NA	9516.32	8.85	7.23	8.04	-77.19	-78.05	-77.62	2	5.09	0.07	200.91	248.37	1548.21	1712.73
Chiroptera	Vespertilionidae	Lasiurus_cinereus	27.06	75.35	NA	16.51	19.9	1	57.18	1	NA	NA	1.96	1	25.2	5.12	40.8	NA	NA	NA	1	2	3	36.41	9.71	54.84	21759652.98	66.38	-41.16	12.6	-41.89	-159.79	-100.84	0	30.48	0.07	75.42	115.7	724.23	957.03
Chiroptera	Vespertilionidae	Lasiurus_degelidus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11081.39	18.52	17.7	18.11	-76.18	-78.36	-77.27	96	222.21	0.04	172.66	240.33	NA	NA
Chiroptera	Vespertilionidae	Lasiurus_ebenus	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.97	-25.08	-25.18	-25.13	-47.96	-48.06	-48.01	8	10	0.04	152	180	1237	1237
Chiroptera	Vespertilionidae	Lasiurus_ega	12.2	NA	NA	NA	NA	1	96.22	1	NA	NA	2.14	1	NA	NA	NA	NA	3	377.37	NA	2	3	NA	NA	NA	17490735.54	34.84	-39.01	-2.08	-34.79	-119.36	-77.08	0	29.73	0.11	130.97	225.67	1175.84	1456.8
Chiroptera	Vespertilionidae	Lasiurus_egregius	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	184920.31	9.36	-30.18	-10.41	-47.72	-78.83	-63.27	2	55.88	0.06	137.5	179.49	1182.22	1263.92
Chiroptera	Vespertilionidae	Lasiurus_insularis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	107157.22	23.19	19.82	21.51	-74.13	-84.95	-79.54	2	108.76	0.02	103.5	252.34	1271	1782.03
Chiroptera	Vespertilionidae	Lasiurus_intermedius	22.96	NA	NA	18.3	22.6	NA	NA	1	NA	NA	2.97	1	NA	1.73	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1863284.42	40.89	13.14	27.01	-73.97	-106.92	-90.45	0	66.85	0.09	106.12	214.29	1081.07	1413.94
Chiroptera	Vespertilionidae	Lasiurus_minor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	83334.5	19.95	17.6	18.77	-65.59	-74.47	-70.03	10	236.47	0.07	104.87	239.16	1406.39	1578.86
Chiroptera	Vespertilionidae	Lasiurus_pfeifferi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	107157.22	23.19	19.82	21.51	-74.13	-84.95	-79.54	2	108.76	0.02	103.5	252.34	1271	1782.03
Chiroptera	Vespertilionidae	Lasiurus_salinae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chiroptera	Vespertilionidae	Lasiurus_seminolus	9.88	NA	NA	13.48	9.77	1	NA	1	NA	NA	2.68	1	NA	1.07	28.78	NA	NA	NA	NA	2	3	NA	NA	NA	1335371.21	42.93	25.75	34.34	-64.67	-99	-81.83	1	61.61	0.06	99.24	175.46	979.31	1109.08
Chiroptera	Vespertilionidae	Lasiurus_varius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
