MSW05_Order	MSW05_Family	MSW05_Binomial	AdultBodyMass_g	AdultHeadBodyLen_mm	AgeatFirstBirth_d	BasalMetRate_mLO2hr	BasalMetRateMass_g	DietBreadth	GestationLen_d	HabitatBreadth	HomeRange_km2	InterbirthInterval_d	LitterSize	LittersPerYear	MaxLongevity_m	NeonateBodyMass_g	NeonateHeadBodyLen_mm	PopulationDensity_n_km2	PopulationGrpSize	SexualMaturityAge_d	SocialGrpSize	Terrestriality	TrophicLevel	WeaningAge_d	WeaningBodyMass_g	WeaningHeadBodyLen_mm	GR_Area_km2	GR_MaxLat_dd	GR_MinLat_dd	GR_MidRangeLat_dd	GR_MaxLong_dd	GR_MinLong_dd	GR_MidRangeLong_dd	HuPopDen_Min_n_km2	HuPopDen_Mean_n_km2	HuPopDen_Change	Precip_Mean_mm	Temp_Mean_01degC	AET_Mean_mm	PET_Mean_mm
Chiroptera	Phyllostomidae	Mimon_crenulatum	13.91	NA	NA	NA	NA	2	NA	1	NA	NA	0.99	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA	NA	NA	10073417.99	19.67	-14.93	2.36	-34.79	-90.07	-62.43	0	19.59	0.12	163.06	244.41	1336.32	1574.05
Chiroptera	Phyllostomidae	Mimon_koepckeae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	113389.51	-8.32	-13.67	-10.99	-72.44	-77.18	-74.81	2	17.57	0.07	115.61	171.04	1057.38	1444.39
Chiroptera	Vespertilionidae	Miniopterus_africanus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	807098.25	15.78	-21.37	-2.79	41.37	19.25	30.31	0	67.41	0.13	76.22	198.32	888	1481.72
Chiroptera	Vespertilionidae	Miniopterus_australis	7.4	NA	NA	NA	NA	1	132.74	1	NA	NA	0.99	1	NA	NA	NA	NA	4900	413.84	NA	2	3	NA	NA	NA	1516450.59	18.65	-32.12	-6.73	169.9	-176.21	-3.15	0	118.73	0.12	206.96	228.09	1402.71	1661.07
Chiroptera	Vespertilionidae	Miniopterus_fraterculus	7.38	NA	NA	NA	NA	NA	155.09	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1360062.01	-13.89	-34.21	-24.05	50.48	15.31	32.9	0	42.89	0.16	79.7	197.79	900.54	1378.66
Chiroptera	Vespertilionidae	Miniopterus_fuscus	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2590.39	28.51	24.24	26.38	129.72	123.66	126.69	365	365	0.04	NA	NA	NA	NA
Chiroptera	Vespertilionidae	Miniopterus_gleni	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	239526.09	-11.94	-25.6	-18.77	50.48	43.63	47.05	3	40.27	0.18	142.72	204.43	1208.38	1599.87
Chiroptera	Vespertilionidae	Miniopterus_inflatus	14.9	NA	NA	NA	NA	1	91.24	1	NA	NA	0.99	NA	NA	NA	NA	NA	NA	742.46	NA	2	3	NA	NA	NA	2563885.05	9.38	-20.75	-5.68	39.26	9.37	24.32	0	48.07	0.15	84.1	218.37	943.84	1492.35
Chiroptera	Vespertilionidae	Miniopterus_macrocneme	7.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	358072.3	-1.95	-22.39	-12.17	169.5	131.08	150.29	1	10.63	0.13	260.02	221.17	1685.82	1713.28
Chiroptera	Vespertilionidae	Miniopterus_magnater	14.14	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	781666.55	24.8	-10.37	7.21	147.86	95.77	121.82	1	104.32	0.08	196.74	230.09	1364.06	1621.73
Chiroptera	Vespertilionidae	Miniopterus_majori	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	265692.41	-11.94	-25.6	-18.77	50.48	43.57	47.03	3	38.18	0.18	137.45	206.71	1185.45	1593.44
Chiroptera	Vespertilionidae	Miniopterus_manavi	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	594962.84	-11.36	-25.6	-18.48	50.48	43.21	46.84	2	28.87	0.19	120.91	219.78	1075.65	1581.19
Chiroptera	Vespertilionidae	Miniopterus_medius	11.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1208567.75	9.33	-10.7	-0.68	152.35	98.8	125.57	1	150.76	0.13	252.85	238.15	1652.5	1718.76
Chiroptera	Vespertilionidae	Miniopterus_minor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	347309.18	4.85	-16.1	-5.62	40.16	6.47	23.31	1	50.14	0.12	64.51	242.26	844.83	1534.32
Chiroptera	Vespertilionidae	Miniopterus_natalensis	10.43	NA	NA	NA	NA	1	126.88	NA	NA	NA	1	1	NA	3	NA	NA	NA	NA	NA	NA	3	58.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chiroptera	Vespertilionidae	Miniopterus_paululus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chiroptera	Vespertilionidae	Miniopterus_pusillus	8.95	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	147746.63	28.19	-10.37	8.91	130.87	74.83	102.85	5	297.74	0.08	154.37	233.56	1247.21	1605.38
Chiroptera	Vespertilionidae	Miniopterus_robustior	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1837.63	-20.67	-21.65	-21.16	168.12	167	167.56	10	10	0.11	NA	NA	NA	NA
Chiroptera	Vespertilionidae	Miniopterus_schreibersii	11.46	NA	723.66	NA	NA	1	182.5	1	NA	NA	0.99	1	168	2.86	26.5	NA	4040	666.44	NA	2	3	60.19	12.5	NA	49430485.11	50.89	-39.13	5.87	162.39	-17.53	72.43	0	94.58	0.1	74.56	198.74	679.41	1335.68
Chiroptera	Vespertilionidae	Miniopterus_shortridgei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chiroptera	Vespertilionidae	Miniopterus_tristis	15.17	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	632956.74	18.65	-10.28	4.18	150.05	118.75	134.4	1	134.08	0.1	240.58	224.65	1618.07	1746.05
Primates	Cercopithecidae	Miopithecus_ogouensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	446721.33	4.03	-5.28	-0.62	15.39	8.69	12.04	1	14.44	0.08	160.61	242.52	1291.73	1504.19
Artiodactyla	Cervidae	Muntiacus_feae	21999.99	NA	NA	NA	NA	4	195.57	NA	NA	NA	1.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	14346.43	16.39	13.64	15.02	98.87	97.86	98.37	5	57.19	0.05	393.21	245.37	1107.53	1687.57
Artiodactyla	Cervidae	Muntiacus_gongshanensis	18590.01	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	170.54	29.65	27.52	28.59	98.85	96.25	97.55	2	8.56	0.03	188.44	-21.62	870.87	1006.82
Artiodactyla	Cervidae	Muntiacus_muntjak	17611.59	994.99	NA	NA	NA	3	210	NA	NA	241	1	NA	211.2	1371.39	NA	3.12	NA	338.33	NA	NA	1	NA	NA	NA	7321434.07	32.36	-8.78	11.79	119.66	72.05	95.86	0	236.51	0.1	150.35	224.08	1094.18	1471.74
Artiodactyla	Cervidae	Muntiacus_puhoatensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1860.05	19.69	19.24	19.46	105.08	104.63	104.86	22	103.77	0.1	115	211.5	1061.77	1252.5
Artiodactyla	Cervidae	Muntiacus_putaoensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42695.33	27.89	25.55	26.72	98.61	95.97	97.29	1	7.79	0.05	194.24	142.94	1188	1274.6
Artiodactyla	Cervidae	Muntiacus_reevesi	13499.94	NA	NA	NA	NA	2	214.24	NA	0.12	215.25	0.98	NA	NA	1050	NA	0.67	NA	295.12	NA	NA	1	NA	NA	NA	1767640.73	34.11	20.22	27.17	122.13	104.67	113.4	41	356.66	0.06	109.52	157.1	1016.93	1071.65
Artiodactyla	Cervidae	Muntiacus_rooseveltorum	10762.64	NA	NA	NA	NA	NA	212.49	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7016.69	19.91	18.88	19.4	104.26	103.55	103.91	5	12.82	0.11	128.18	195.2	996.13	1241.99
Artiodactyla	Cervidae	Muntiacus_truongsonensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10016.59	16.51	15.03	15.77	107.65	106.86	107.26	7	63.78	0.14	256.48	212.7	1410.97	1656.22
Artiodactyla	Cervidae	Muntiacus_vuquangensis	36690.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55431.64	18.54	13.43	15.99	107.71	104.22	105.96	3	34.31	0.13	217.86	228.32	1241	1524.63
Dasyuromorphia	Dasyuridae	Murexechinus_melanurus	38.02	108.11	NA	NA	NA	1	NA	1	NA	NA	3.49	1	NA	NA	NA	150	NA	374.16	NA	1	3	NA	NA	NA	198231.1	-1.02	-10.3	-5.66	149.73	133.74	141.74	1	10.16	0.12	264.71	201.58	1686.8	1700.08
Dasyuromorphia	Dasyuridae	Murexia_longicaudata	126.79	180.43	NA	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	NA	NA	NA	155022.96	-1.59	-9.75	-5.67	147.9	135.22	141.56	1	10.99	0.11	265.83	201.44	1688.84	1726.03
Rodentia	Cricetidae	Necromys_punctulatus	37.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rodentia	Cricetidae	Necromys_temchuki	47.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	108564.06	-24.8	-28.58	-26.69	-54.01	-61.24	-57.62	1	20.45	0.09	105.35	210.82	1139.58	1219.83
Rodentia	Cricetidae	Necromys_urichi	44.84	NA	NA	NA	NA	4	NA	1	NA	NA	5.18	3.6	NA	NA	NA	304.58	NA	84.23	NA	1	2	NA	NA	NA	229420.4	10.76	1.32	6.04	-61.01	-72.46	-66.74	0	70.64	0.17	145.69	234.28	1483.19	1706.59
Soricomorpha	Soricidae	Nectogale_elegans	38.82	109	NA	NA	NA	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA	NA	NA	509363.88	34.24	26.94	30.59	108.45	89.22	98.83	1	134.05	0.07	126.95	84.6	862.65	1023.02
Rodentia	Cricetidae	Nectomys_apicalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rodentia	Cricetidae	Nectomys_magdalenae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rodentia	Cricetidae	Nectomys_palmipes	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	76476.81	10.76	4.57	7.67	-59.84	-64.67	-62.26	0	30.71	0.16	126.21	236.97	1517.2	1770.52
Rodentia	Cricetidae	Nectomys_rattus	248.8	NA	NA	NA	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2	NA	NA	NA	1283.17	4.77	4.4	4.59	-52.26	-52.62	-52.44	0	9.99	0.3	307.99	242.99	1560.74	1816.5
Rodentia	Cricetidae	Nectomys_squamipes	184.98	182.42	NA	NA	NA	7	NA	2	1.55E-03	NA	4.5	NA	NA	NA	NA	212.58	NA	NA	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rodentia	Muridae	Muriculus_imberbis	18.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106402.32	14.25	7.06	10.65	39.95	36.78	38.37	16	112.62	0.14	97.68	163.08	929.65	1473
Chiroptera	Vespertilionidae	Murina_aenea	7.5	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	74408.21	6.5	1.89	4.19	117.63	100.97	109.3	3	81.16	0.16	220.26	246.65	1706.86	1824.23
Chiroptera	Vespertilionidae	Murina_aurata	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	705211.65	33.21	23.6	28.41	105.59	82.88	94.23	1	107.28	0.08	157.33	108.65	970	1155.72
Chiroptera	Vespertilionidae	Murina_cyclotis	9.35	NA	NA	NA	NA	NA	NA	1	NA	NA	1.98	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2366110.37	28.15	-8.84	9.65	126.6	77.07	101.83	1	159.85	0.1	167.16	230.97	1174.1	1528.34
Chiroptera	Vespertilionidae	Murina_florium	4.41	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	216194.08	0.84	-19.42	-9.28	148.08	116.71	132.4	0	32.77	0.08	217.06	230.17	1438.21	1699.29
Chiroptera	Vespertilionidae	Murina_fusca	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	58971.74	41.48	37.96	39.72	113.29	110.19	111.74	25	131.76	0.06	28.77	32.23	442.72	747.92
Chiroptera	Vespertilionidae	Murina_grisea	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	867.06	30.43	30.11	30.27	78.25	77.93	78.09	350	448.5	0.11	171	219	991.5	1280
Chiroptera	Vespertilionidae	Murina_hilgendorfi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	606874.57	57.74	30.98	44.36	144.75	86.54	115.64	0	149	1.24E-03	69.27	16.48	530.05	563.52
Chiroptera	Vespertilionidae	Murina_huttoni	7.56	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2092289.14	37.55	2.78	20.17	113.85	72.22	93.03	0	124.9	0.09	126.31	128.62	947.78	1221.97
Chiroptera	Vespertilionidae	Murina_leucogaster	7.54	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	644305.67	34.59	14.33	24.46	120.1	84.67	102.38	3	249.08	0.06	121.31	122.73	909.96	1043.44
Chiroptera	Vespertilionidae	Murina_puta	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	36065.98	25.29	21.9	23.6	122	120.04	121.02	70	676.6	0.03	160.5	165.8	NA	NA
Chiroptera	Vespertilionidae	Murina_rozendaali	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	80063.86	5.81	1.85	3.83	118.15	100.59	109.37	3	98.92	0.11	210.06	252.35	1687.92	1818.47
Chiroptera	Vespertilionidae	Murina_ryukyuana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1209.87	26.87	26.07	26.47	128.32	127.63	127.98	365	365	0.04	NA	NA	NA	NA
Chiroptera	Vespertilionidae	Murina_silvatica	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	305747.47	45.52	33.42	39.47	145.82	130.86	138.34	56	323.22	0.01	125.1	83.36	743.5	799.35
Chiroptera	Vespertilionidae	Murina_suilla	4	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	385996.37	6.11	-7.88	-0.88	118.46	97.05	107.76	1	123.25	0.16	251.05	236.82	1660.95	1704.85
Chiroptera	Vespertilionidae	Murina_tenebrosa	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	450.62	34.7	34.29	34.49	129.49	129.23	129.36	318	318	-0.01	NA	NA	NA	NA
Cetacea	Ziphiidae	Mesoplodon_layardii	1500000	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cetacea	Ziphiidae	Mesoplodon_mirus	2099999.99	5179.99	NA	NA	NA	NA	NA	1	NA	NA	0.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cetacea	Ziphiidae	Mesoplodon_perrini	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cetacea	Ziphiidae	Mesoplodon_peruvianus	NA	3719.99	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cetacea	Ziphiidae	Mesoplodon_stejnegeri	4800000.02	6090	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cetacea	Ziphiidae	Mesoplodon_traversii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Didelphimorphia	Didelphidae	Metachirus_nudicaudatus	363.77	260.69	NA	204.96	336	4	NA	2	NA	365	3.87	NA	48	NA	NA	25.59	NA	NA	1	2	2	NA	NA	NA	8833791.02	16.59	-27.26	-5.33	-37.9	-91.61	-64.76	0	19.89	0.13	162.56	242.98	1365.68	1539.31
Rodentia	Muridae	Micaelamys_granti	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	141399.15	-30.23	-32.92	-31.57	25.64	19.35	22.49	0	1.8	0.09	19.65	157.45	329.72	1018.06
Rodentia	Muridae	Micaelamys_namaquensis	57.1	NA	NA	48.13	57.3	NA	21.99	NA	NA	NA	3.49	2	NA	2.5	NA	1378.9	NA	NA	NA	NA	NA	27.5	12.5	NA	3334236.98	-13.4	-32.92	-23.16	38.07	13.96	26.01	0	19.5	0.12	49.06	201.75	624.94	1360.42
Didelphimorphia	Didelphidae	Micoureus_alstoni	132.3	192.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	196544.91	17.19	9.39	13.29	-82.79	-89.21	-86	2	38.82	0.2	209.32	230.63	1387.21	1651.01
Didelphimorphia	Didelphidae	Micoureus_constantiae	92.69	161.7	NA	NA	NA	NA	NA	1	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	299842.88	-16.95	-23.99	-20.47	-55.04	-64.1	-59.57	0	4.57	0.08	89.78	234.8	1071.17	1414.58
Didelphimorphia	Didelphidae	Micoureus_demerarae	102.28	168.6	NA	NA	NA	1	NA	2	NA	NA	6.29	NA	NA	NA	NA	26.38	NA	323.13	NA	2	3	NA	NA	NA	10966042.03	10.41	-27.45	-8.52	-34.79	-77.93	-56.36	0	19.39	0.11	153.67	242.73	1302.74	1531.63
Didelphimorphia	Didelphidae	Micoureus_paraguayanus	112.43	168.6	NA	NA	NA	1	NA	2	NA	NA	5.56	NA	NA	NA	NA	30.82	NA	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Didelphimorphia	Didelphidae	Micoureus_phaeus	NA	137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Didelphimorphia	Didelphidae	Micoureus_regina	118.6	230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	668331.62	4.96	-14.24	-4.64	-68.81	-78.05	-73.43	0	16.97	0.12	197.15	235.89	1445.65	1497.13
Rodentia	Cricetidae	Microakodontomys_transitorius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rodentia	Caviidae	Microcavia_australis	261.49	200	NA	NA	NA	5	54.91	3	2.94E-03	54.6	2.48	4.5	NA	30.39	95.92	2116.99	NA	89.57	NA	2	1	20.86	NA	NA	1516378.14	-22.18	-53.54	-37.86	-60.91	-73.51	-67.21	0	5.92	0.1	34.24	102.79	410.88	818.5
Rodentia	Caviidae	Microcavia_niata	254.67	NA	NA	175.83	255.2	2	54	NA	NA	55	3.16	5	NA	NA	NA	NA	NA	NA	NA	NA	1	20.88	NA	NA	204842.27	-17.03	-22.83	-19.93	-64.48	-69.53	-67	0	7.86	0.03	43.26	33.4	424.11	1263.32
Rodentia	Caviidae	Microcavia_shiptoni	185	NA	NA	NA	NA	NA	54	NA	NA	55	3.16	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.88	NA	NA	35972.81	-22.82	-27.32	-25.07	-64.81	-66.22	-65.52	2	26.6	0.14	66.12	53.72	686.33	1307.68
Primates	Cheirogaleidae	Microcebus_berthae	33.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	236.07	-19.99	-20.15	-20.07	44.75	44.59	44.67	6	8.49	0.21	78.01	247.5	910.05	1572
Primates	Cheirogaleidae	Microcebus_griseorufus	70.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17072.63	-22.17	-23.71	-22.94	44.72	43.23	43.97	5	17.13	0.19	49.9	238.8	693.4	1668.06
Primates	Cheirogaleidae	Microcebus_murinus	69	143.61	380.2	125.84	101.05	5	60.34	1	0.01	365	2	NA	186	4.78	43.08	461	3.5	355.53	1	2	2	40.45	NA	NA	122051.83	-12.33	-25.58	-18.95	49.6	43.22	46.41	2	12.01	0.19	85.12	240.86	897.1	1624.72
Primates	Cheirogaleidae	Microcebus_myoxinus	31.23	141.42	NA	NA	NA	4	59.99	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	1	2	2	NA	NA	NA	2721.78	-19.81	-20.36	-20.08	45.12	44.56	44.84	6	7.74	0.18	82.26	247.5	930.04	1565.99
Primates	Cheirogaleidae	Microcebus_ravelobensis	58.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1362.43	-16.1	-16.5	-16.3	47.14	46.71	46.92	17	21.33	0.16	129.99	267.32	932.95	1602.66
Primates	Cheirogaleidae	Microcebus_rufus	48.39	143.61	NA	NA	NA	5	59.99	1	0.01	NA	2.52	NA	144	6.5	NA	167.8	3.25	NA	1	2	2	40	NA	NA	105086.84	-13.46	-25.19	-19.32	50.46	46.58	48.52	5	37.74	0.18	171.44	199.61	1319.63	1595.19
Primates	Cheirogaleidae	Microcebus_sambiranensis	49.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	134.75	-13.99	-14.11	-14.05	48.33	48.21	48.27	8	15.5	0.14	146.5	234	1103.06	1808.72
Primates	Cheirogaleidae	Microcebus_tavaratra	68.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	198.5	-12.99	-13.14	-13.06	49.13	48.98	49.06	14	20.66	0.16	105.98	246.99	1215	1527
Rodentia	Muridae	Microdillus_peeli	NA	67.99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18197	10.21	4.07	7.14	46.83	45.03	45.93	9	13.67	0.06	13.69	253.22	318.7	1795.19
Rodentia	Heteromyidae	Microdipodops_megacephalus	12.3	72.99	NA	30.82	11	2	NA	2	4.39E-03	NA	3.94	NA	65	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	226286.76	44.5	37.13	40.82	-112.42	-121.11	-116.76	0	1.8	0.06	21.26	71.85	273.63	883.72
Rodentia	Heteromyidae	Microdipodops_pallidus	13.36	75	NA	19.5	15	2	NA	2	NA	NA	3.89	NA	NA	1	NA	NA	NA	NA	NA	1	2	NA	NA	NA	31277.67	40.15	36.99	38.57	-115.68	-119.27	-117.47	0	0.93	-0.02	18.04	87.74	238.32	1005.07
